label,id
Cangaia de Jegue,298
Caninana,299
Canindé,300
Canta Bahia,301
Canto 4,302
Canários do Reino,303
Capiba,304
Capicua,305
Capital Cult,306
Capital Do Sol,307
Capital Inicial,308
Cari Wojichowski,309
Cariciar,310
Carlim Alves,311
Carlinhos Vergueiro,312
Carlito Gomes,313
Carlos Alexandre,314
Carlos Andre,315
Carlos Araujo,316
Carlos Cachaca,317
Carlos Capacho,318
Carlos Galhardo,319
Carlos Gonzaga,320
Carlos Jose,321
Carlos Lyra,322
Carlos Mais,323
Carlos Malta,324
Carlos Santos,325
Carlos Vudú y el Clan Jukebox,326
Carmen Costa,327
Carmen Silva,328
Carolina Cardoso de Menezes,329
Carro Bomba,330
Carta de Baralho,331
Cartola,332
Cascabulho,333
Casper Locs,334
Cassiano,335
Casuarina,336
Cataia,337
Catuaba Com Amendoim,338
Cauby Peixoto,339
Cavaleiros do Forró,340
Cavalo De Pau,341
Caviar Com Rapadura,342
Celebridades do Forró,343
Celleste,344
Celso,345
Celsopp,346
Cemitério,347
Centrino,348
Ceschi,349
Cezzinha,350
Chama Chuva,351
Chaos Trigger,352
Charles Pasi,353
Charlie Brown Jr.,354
Charlys Da Rocinha,355
Chasen Hampton,356
Che Sudaka,357
Cheiro de Amor,358
Cheiro de Menina,359
Chemnitz,360
Chewy Puma,361
Chicabana,362
Chicha Libre,363
Chiclete Com Banana,364
Chico Buarque,365
Chico Chagas,366
Chico César,367
Chico Di Pessoa,368
Chimarruts,369
Chinelo de Couro,370
Chitrili,371
Chorinho do Capibaribe,372
Choro & Companhia,373
Chorões da Pauliceia,374
Chris Robinson Brotherhood,375
Christine Michael,376
Chullage,377
Churupaca,378
Cidade Negra,379
Cidadão Instigado,380
Circuito Musical,381
Circuladô de Fulô,382
Clara Nunes,383
Clare Southworth,384
Claude Marchal,385
Claudinho & Buchecha,386
Claudio Fontana,387
Claudio Rios,388
Claudionor Germano,389
Claustrofobia,390
Clementina De Jesus,391
Clemilda,392
Clube Do Balanço,393
Cláudio Rabeca,394
Clã da Matarroa,395
Cobraverde,396
Cocepcion G. Canete,397
Coco Romero,398
Coisa de Zé,399
Collo de Menina,400
Colpi Repentini,401
Comadre Florzinha,402
Companhia Do Forró,403
Companhia do Calypso,404
Conde Só Brega,405
ConeCrewDiretoria,406
Conjunto Classe A,407
Conjunto Época de Ouro,408
Connexx,409
Conspiracy,410
"Continentino, Amuedo e Senise",411
Contu Nobo,412
Conversa de Cordas,413
Coral Bloco da Saudade,414
Coral Edgard Moraes,415
Coral Misto Mocambo,416
Corcovado Experience,417
Cordão Do Boitatá,418
Corisco do Trovão,419
Costinha,420
Crabcorps,421
Creakin' John Moon,422
Crewcial,423
Cristiano Neves,424
Cristina Amaral,425
Cristina Buarque,426
Cristóvão Bastos,427
Crowfield,428
Cumbia Twins,429
Curumin,430
Cuti & Roberto Carabajal,431
Cyro Monteiro,432
Cálculo,433
Cássia Eller,434
Céu,435
D'Akokkan,436
D.J.GOLUBb,437
D2 Featuring Dan Diamond,438
DJ Bomberjack,439
DJ CRUZFADER,440
DJ Dias Rodrigues,441
DJ Ivis,442
DJ Maluco,443
DJ Nel'Assassin,444
DJ Núcleo,445
DJ Pasta,446
DJ Sas,447
DJ Yuri,448
DRIPPY,449
Da Blazz,450
Da Weasel,451
Daczi Zsolt,452
Daduh King,453
Dadá Boladão,454
Dalto,455
Dalva De Oliveira,456
Dama Bete,457
Damani Van Dunem,458
Dan Donovan,459
Dan Sanscrainte,460
Dancing Mood,461
Dandy Wolf,462
Daniel Kerr,463
Daniel Patiño Quintana,464
Daniela Mercury,465
Danielzinho & René,466
Danilo Caymmi,467
Danny L,468
DarkRoom Familia,469
Daudi Kabaka,470
Davi Firma,471
David Bruno,472
Dazaranha,473
Dealema,474
Decisive Abandonment,475
Dedim Gouveia,476
Dee Cisneros,477
Deepbreath,478
Delmiro Barros,479
Dengaz,480
Denin Rei,481
Denis Graça,482
Deo Rian,483
Derrick Thomas,484
Desejo De Menina,485
Deski,486
Destino San Javier,487
Detonautas Roque Clube,488
Dhéssica Rauana,489
Di Melo,490
Diamond Platnumz,491
Diana,492
Dick Farney,493
Dicró,494
Dida,495
Dida Pelled,496
Diego Oliveira,497
"Dieguito, Guadiana, Paco Pena",498
Digital Man,499
Dilermando Reis,500
Dilsinho,501
Dimas e Seus Teclados,502
Dinamite do Forró,503
Dino Rangel,504
Diogo Menasso,505
Diogo Nogueira,506
Dirceu Leite,507
Disco Club,508
Diwonova,509
Dj Bodysoul,510
Dj Glue,511
Dj Junior,512
Djavan,513
Djen,514
Djey B,515
Dji Tafinha,516
Djimetta,517
Djodje,518
DnG,519
Doce Encontro,520
Dois Dobrado,521
Dolores Duran,522
Dom Mac 1º,523
Dom Salvador,524
Dom Um Romao,525
Domenico Lancellotti,526
Dominguinhos,527
Don Kikas,528
Don Maliko,529
Dona Ivone Lara,530
Dona Selma,531
Dona Zaíra,532
Donny Silva,533
Dorgival Dantas,534
Dori Caymmi,535
Dorival Caymmi,536
Doug Harris,537
Douglas Aldridge,538
Dr. Dream,539
Dr. Shinto,540
Dr. T C Cheng,541
Dream'ed,542
Drunk Master,543
Du Lima,544
Duas Caras,545
Dudu Nobre,546
Duncecap,547
Duprix,548
Duquinha,549
Durval,550
Dy Bryan,551
Déo Seresteiro,552
Earthquake Lights,553
Eddu,554
Eddy Marcano,555
Edimilson Batista,556
Edinho Pakera O Barão Da Pisadinha,557
Edison Machado,558
Ednardo,559
Edson Duarte,560
Edson Gomes,561
Edson Lima,562
Edson Lima Gatinha Manhosa,563
Edson Lima e Gatinha Manhosa,564
Edson Lima e o Forró Gatinha Manhosa,565
Edu Da Gaita,566
Edu Lobo,567
Edu Ribeiro,568
Eduardo Neves,569
Eduardo Queiroz,570
Edy e Nathan,571
Edyr Vaqueiro,572
Egberto Gismonti,573
Egon Soda,574
El Indio Lucio Rojas,575
El príncipe y nico davis,576
Elba Ramalho,577
Elecdruids,578
Electrotete,579
Elenco de Luxo,580
Elias Belmiro,581
Elias Lemoon,582
Elino Julião,583
Elis Regina,584
Elizeth Cardoso,585
Elizio,586
Elji Beatzkilla,587
Elle Belga,588
Elomar,589
"Elomar, Geraldo Azevedo, Vital Farias e Xangai",590
"Elomar, Geraldo Azevedo, Vital Farias, Xangai",591
Elton Medeiros,592
Elza Soares,593
Emotive,594
Emílio Santiago,595
Encoffined,596
Enoque do acordeon,597
Erasmo Carlos,598
Erasto Vasconcelos,599
Eric Albert,600
Eric Blair and the Absolute Nothings,601
Eric Green,602
Eric Wainaina,603
Erivaldinho do acordeon,604
Erlon Chaves,605
"Ernesto, Abram, & Santiago Moreno",606
Estival,607
Estraca,608
Ethel Hunter,609
Evaldo Braga,610
Evaldo Cardoso,611
Evaldo Freire,612
Evaldo Gouveia,613
Evandro Do Bandolim,614
Every Second Friday,615
Ex-Peão,616
Exaltasamba,617
Expedito Baracho,618
Expensive Soul,619
Expressão Regueira,620
F.A.N.S.,621
FC Porto FanChants,622
FINNi,623
FUNKID,624
Fabiana Cozza,625
Factor Activo,626
Factos Reais,627
Facundo Toro,628
Fafá de Belém,629
Fagner,630
Falamansa,631
Falcão,632
Farao,633
Fashion Victim,634
Fatima Marques,635
Fehja,636
Felipão,637
Felipão & Forró Moral,638
Fernanda Abreu,639
Fernanda Takai,640
Fernando J. Obradors,641
Fernando Mendes,642
Fernando Pisadinha,643
Fernando Terra,644
Ferro Gaita,645
Ferro na Boneca,646
Ferrugem,647
Ferry,648
Ferry RBL,649
Fidbek,650
Filipão E Forró Moral,651
Filosofia Reggae,652
Filpo Ribeiro e a Feira do Rolo,653
Fino Coletivo,654
Fizz Escobarra,655
Flavio Leandro,656
Flavio Venturini,657
Flor De Cheiro,658
Flor de Pedra,659
Flotilha em Alta-terra,660
Flávio José,661
Footmovin',662
Forro In The Dark,663
Forro do Bota Bota,664
Forrobamba,665
Forrozao Baby Som - Canta Com O Povo Ao Vivo,666
Forrozão Baby Som,667
Forrozão Brega E Vinho,668
Forrozão Ferro na Boneca,669
Forrozão Tropykalia,670
Forroçacana,671
Forrueiros,672
Forró 100 Preconceito,673
Forró Anjo Azul,674
Forró Balancear,675
Forró Bemtivi,676
Forró Boys,677
Forró Cheiro de Menina,678
Forró Chicote,679
Forró Cintura de Mola,680
Forró Collo de Menina,681
Forró De KA,682
